material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
GaAs,zb,encut,E300,-9.58658854,-4.79329427,./convergence_tests_LDA/GaAs/conv_cutoff/E300,LDA
GaAs,zb,encut,E400,-9.58440698,-4.79220349,./convergence_tests_LDA/GaAs/conv_cutoff/E400,LDA
GaAs,zb,encut,E500,-9.58494869,-4.792474345,./convergence_tests_LDA/GaAs/conv_cutoff/E500,LDA
GaAs,zb,encut,E600,-9.58486949,-4.792434745,./convergence_tests_LDA/GaAs/conv_cutoff/E600,LDA
GaAs,zb,encut,E700,-9.58492862,-4.79246431,./convergence_tests_LDA/GaAs/conv_cutoff/E700,LDA
GaAs,zb,kpt,k10x10x10,-9.58950113,-4.794750565,./convergence_tests_LDA/GaAs/conv_kpt/k10x10x10,LDA
GaAs,zb,kpt,k12x12x12,-9.59071681,-4.795358405,./convergence_tests_LDA/GaAs/conv_kpt/k12x12x12,LDA
GaAs,zb,kpt,k4x4x4,-9.40395176,-4.70197588,./convergence_tests_LDA/GaAs/conv_kpt/k4x4x4,LDA
GaAs,zb,kpt,k6x6x6,-9.5627571,-4.78137855,./convergence_tests_LDA/GaAs/conv_kpt/k6x6x6,LDA
GaAs,zb,kpt,k8x8x8,-9.58494869,-4.792474345,./convergence_tests_LDA/GaAs/conv_kpt/k8x8x8,LDA
GaN,zb,encut,E300,-13.94559729,-6.972798645,./convergence_tests_LDA/GaN/conv_cutoff/E300,LDA
GaN,zb,encut,E400,-13.93382012,-6.96691006,./convergence_tests_LDA/GaN/conv_cutoff/E400,LDA
GaN,zb,encut,E500,-13.93322151,-6.966610755,./convergence_tests_LDA/GaN/conv_cutoff/E500,LDA
GaN,zb,encut,E600,-13.93334107,-6.966670535,./convergence_tests_LDA/GaN/conv_cutoff/E600,LDA
GaN,zb,encut,E700,-13.93506615,-6.967533075,./convergence_tests_LDA/GaN/conv_cutoff/E700,LDA
GaN,zb,kpt,k10x10x10,-13.93322151,-6.966610755,./convergence_tests_LDA/GaN/conv_kpt/k10x10x10,LDA
GaN,zb,kpt,k12x12x12,-13.93330852,-6.96665426,./convergence_tests_LDA/GaN/conv_kpt/k12x12x12,LDA
GaN,zb,kpt,k4x4x4,-13.86788081,-6.933940405,./convergence_tests_LDA/GaN/conv_kpt/k4x4x4,LDA
GaN,zb,kpt,k6x6x6,-13.92855315,-6.964276575,./convergence_tests_LDA/GaN/conv_kpt/k6x6x6,LDA
GaN,zb,kpt,k8x8x8,-13.93279314,-6.96639657,./convergence_tests_LDA/GaN/conv_kpt/k8x8x8,LDA
GaP,zb,encut,E300,-10.44073215,-5.220366075,./convergence_tests_LDA/GaP/conv_cutoff/E300,LDA
GaP,zb,encut,E400,-10.43902338,-5.21951169,./convergence_tests_LDA/GaP/conv_cutoff/E400,LDA
GaP,zb,encut,E500,-10.43972261,-5.219861305,./convergence_tests_LDA/GaP/conv_cutoff/E500,LDA
GaP,zb,encut,E600,-10.43985096,-5.21992548,./convergence_tests_LDA/GaP/conv_cutoff/E600,LDA
GaP,zb,encut,E700,-10.4399627,-5.21998135,./convergence_tests_LDA/GaP/conv_cutoff/E700,LDA
GaP,zb,kpt,k10x10x10,-10.44206759,-5.221033795,./convergence_tests_LDA/GaP/conv_kpt/k10x10x10,LDA
GaP,zb,kpt,k12x12x12,-10.44250207,-5.221251035,./convergence_tests_LDA/GaP/conv_kpt/k12x12x12,LDA
GaP,zb,kpt,k4x4x4,-10.28861352,-5.14430676,./convergence_tests_LDA/GaP/conv_kpt/k4x4x4,LDA
GaP,zb,kpt,k6x6x6,-10.4243644,-5.2121822,./convergence_tests_LDA/GaP/conv_kpt/k6x6x6,LDA
GaP,zb,kpt,k8x8x8,-10.43972261,-5.219861305,./convergence_tests_LDA/GaP/conv_kpt/k8x8x8,LDA
GaSb,zb,encut,E300,-8.64641702,-4.32320851,./convergence_tests_LDA/GaSb/conv_cutoff/E300,LDA
